n_units,learning_rate,optimizer,activation,dropout,precision
"32,64,32,64",0.001,sgd,softplus,0.25,0.0
"32,64,32,64",0.01,adam,tanh,0.1,0.0
"64,64,64",0.001,adam,softplus,0.0,0.3506271243095398
"64,64,64",0.01,adam,softplus,0.0,0.0
"32,64,32,64",0.001,sgd,softplus,0.05,0.2777777910232544
"64,64,64",0.001,adam,softplus,0.05,0.33191850781440735
"64,64,64",0.001,sgd,softplus,0.25,0.3636363744735718
"32,64,32,64",0.01,adam,relu,0.0,0.0
"32,64,32,64",0.001,sgd,relu,0.1,0.2857142984867096
"64,64,64",0.01,adam,tanh,0.0,0.0
"64,64,64",0.01,adam,relu,0.1,0.0
"64,64,64",0.001,adam,relu,0.25,0.33922260999679565
"64,64,64",0.001,sgd,tanh,0.05,0.0
"32,64,32,64",0.001,sgd,tanh,0.05,0.0
"32,64,32,64",0.01,sgd,relu,0.0,0.3333333432674408
"32,64,32,64",0.001,sgd,softplus,0.1,0.0
"32,64,32,64",0.001,sgd,relu,0.0,0.2531645596027374
"32,64,32,64",0.001,adam,softplus,0.0,0.3568389117717743
"32,64,32,64",0.001,adam,relu,0.0,0.34983277320861816
"32,64,32,64",0.01,sgd,tanh,0.25,0.0
"32,64,32,64",0.01,adam,relu,0.05,0.0
"64,64,64",0.001,sgd,relu,0.05,0.3144758641719818
"64,64,64",0.001,sgd,softplus,0.05,0.315696656703949
"32,64,32,64",0.001,sgd,tanh,0.25,0.0
"32,64,32,64",0.01,sgd,softplus,0.1,0.3196881115436554
"64,64,64",0.01,sgd,relu,0.25,0.31699347496032715
"64,64,64",0.01,sgd,softplus,0.0,0.34214502573013306
"64,64,64",0.01,sgd,tanh,0.05,0.0
"64,64,64",0.01,sgd,softplus,0.1,0.35766422748565674
"32,64,32,64",0.01,adam,softplus,0.0,0.0
"32,64,32,64",0.001,sgd,relu,0.25,0.0
"32,64,32,64",0.01,adam,softplus,0.1,0.0
"32,64,32,64",0.001,adam,relu,0.05,0.37265416979789734
"64,64,64",0.001,sgd,relu,0.1,0.3273381292819977
"32,64,32,64",0.01,adam,tanh,0.05,0.0
"64,64,64",0.001,adam,softplus,0.1,0.3499999940395355
"64,64,64",0.001,sgd,softplus,0.1,0.32972973585128784
"64,64,64",0.001,adam,tanh,0.05,0.0
"64,64,64",0.001,adam,tanh,0.1,0.11627907305955887
"64,64,64",0.01,adam,tanh,0.25,0.0
"64,64,64",0.01,sgd,softplus,0.25,0.28484848141670227
"64,64,64",0.001,sgd,relu,0.0,0.3878737688064575
"64,64,64",0.001,adam,tanh,0.0,0.18518517911434174
"64,64,64",0.001,adam,softplus,0.25,0.3513071835041046
"64,64,64",0.001,sgd,tanh,0.25,0.0
"32,64,32,64",0.001,adam,softplus,0.25,0.37344399094581604
"64,64,64",0.01,sgd,relu,0.0,0.3636363744735718
"32,64,32,64",0.01,sgd,relu,0.05,0.3626865744590759
"32,64,32,64",0.01,adam,relu,0.25,0.0
"32,64,32,64",0.01,sgd,tanh,0.05,0.0
"32,64,32,64",0.001,adam,softplus,0.1,0.36970338225364685
"64,64,64",0.001,adam,relu,0.1,0.37286433577537537
"32,64,32,64",0.01,sgd,softplus,0.25,0.20714285969734192
"64,64,64",0.001,sgd,softplus,0.0,0.36014625430107117
"32,64,32,64",0.001,sgd,relu,0.05,0.0
"64,64,64",0.01,adam,softplus,0.25,0.0
"32,64,32,64",0.01,adam,tanh,0.25,0.0
"64,64,64",0.01,adam,relu,0.05,0.0
"32,64,32,64",0.001,adam,softplus,0.05,0.35027727484703064
"32,64,32,64",0.001,adam,tanh,0.05,0.0
"64,64,64",0.001,sgd,tanh,0.0,0.0
"32,64,32,64",0.01,sgd,tanh,0.1,0.0
"64,64,64",0.01,sgd,relu,0.1,0.3272283375263214
"64,64,64",0.01,adam,tanh,0.1,0.365570604801178
"64,64,64",0.01,adam,softplus,0.1,0.0
"32,64,32,64",0.01,adam,tanh,0.0,0.0
"32,64,32,64",0.001,sgd,tanh,0.1,0.0
"32,64,32,64",0.001,sgd,tanh,0.0,0.0
"64,64,64",0.001,sgd,tanh,0.1,0.0
"32,64,32,64",0.001,sgd,softplus,0.0,0.20481927692890167
"64,64,64",0.01,sgd,tanh,0.1,0.0
"32,64,32,64",0.001,adam,relu,0.1,0.28260868787765503
"64,64,64",0.01,adam,relu,0.0,0.0
"32,64,32,64",0.001,adam,tanh,0.1,0.0
"64,64,64",0.01,sgd,tanh,0.25,0.0
"32,64,32,64",0.01,sgd,relu,0.1,0.29378530383110046
"32,64,32,64",0.001,adam,relu,0.25,0.3747534453868866
"64,64,64",0.01,adam,softplus,0.05,0.0
"64,64,64",0.01,sgd,tanh,0.0,0.0
"64,64,64",0.001,adam,tanh,0.25,0.0
"32,64,32,64",0.01,sgd,softplus,0.05,0.34445926547050476
"64,64,64",0.001,adam,relu,0.0,0.3646993339061737
"32,64,32,64",0.001,adam,tanh,0.0,0.0
"64,64,64",0.001,sgd,relu,0.25,0.0
"32,64,32,64",0.001,adam,tanh,0.25,0.0
"32,64,32,64",0.01,sgd,softplus,0.0,0.295114666223526
"32,64,32,64",0.01,adam,softplus,0.25,0.0
"32,64,32,64",0.01,sgd,relu,0.25,0.2907488942146301
"64,64,64",0.01,adam,tanh,0.05,0.3718518614768982
"64,64,64",0.01,sgd,relu,0.05,0.3855890929698944
"32,64,32,64",0.01,sgd,tanh,0.0,0.0
"64,64,64",0.01,sgd,softplus,0.05,0.3753056228160858
"64,64,64",0.001,adam,relu,0.05,0.33994126319885254
"64,64,64",0.01,adam,relu,0.25,0.0
"32,64,32,64",0.01,adam,relu,0.1,0.0
"32,64,32,64",0.01,adam,softplus,0.05,0.0
